kode,total_score,jumlah_berita,rata_rata_score,max_score,nilai_transaksi_rata2,nilai_transaksi_maks,judul_list_x,kategori_list,tanggal_terbaru,news_score,news_count,max_value,judul_list_y,combined
LINK,2,1,2.0,2,,,['Penyampaian Informasi rencana Transaksi material - Rencana Transaksi Perubahan Kegiatan Usaha [LINK ]'],['Transaksi Material'],2026-04-27 19:25:55,8.0,10.0,5000000.0,"['Link dan Alur Rekrutmen Manajer Koperasi Desa Merah Putih, Catat Jadwalnya', 'Amazon Segera Sepakati Akuisisi Operator Satelit Globalstar, Siap Saingi Starlink Milik SpaceX', 'Gencar Ekspansi Jaringan, Link Net (LINK) Capai 5 Juta Home Pass', 'SIG (SMGR) Ekspansi ke Afrika, Ekspor Klinker Perdana Menuju Mauritania', 'Ubah Keterbatasan Jadi Kekuatan, Kisah Difabel Asal Semarang Kembangkan Usaha Bersama LinkUMKM BRI', 'LinkUMKM BRI Dorong Perempuan Pengusaha Fesyen Naik Kelas, Olah Wastra Nusantara Jadi Busana Modern', 'Amazon Ingin Akuisisi Perusahaan Satelit Globalstar untuk Saingi Starlink', 'Daftar Link Pengumuman SNBP 2026 Lengkap 42 Universitas, Begini Cara Aksesnya', 'BRILink Agen “Rieche Endah” Permudah Transaksi Perbankan Warga Sumbawa', 'Dukung Transaksi Nasabah Selama Lebaran, BRI Andalkan 1,2 Juta BRILink Agen']",10.0
CDIA,6,2,3.0,3,,,"['Penyampaian Bukti Iklan KETERBUKAAN INFORMASI PT CHANDRA DAYA INVESTASI Tbk SEHUBUNGAN DENGAN TRANSAKSI AFILIASI [CDIA ]', 'KETERBUKAAN INFORMASI PT CHANDRA DAYA INVESTASI Tbk SEHUBUNGAN DENGAN TRANSAKSI AFILIASI [CDIA ]']","['Afiliasi, Keyword Abu-Abu', 'Afiliasi, Keyword Abu-Abu']",2026-04-27 20:49:47,3.0,4.0,2170000000000.0,"['Saham Prajogo PTRO-CDIA Cs Melonjak Lagi, Reli 7 Hari Beruntun', 'CDIA Resmikan Kapal Kimia Cair Boreas, Siap Berlayar Juni 2026', 'Laba CDIA Melejit Jadi Rp2,17 Triliun, Bisnis Logistik Tumbuh 551 Persen', 'IHSG Hari Ini Berpotensi Melemah, Perhatikan ARKO, MEDC, UNTR, hingga CDIA']",9.0
SAME,8,4,2.0,2,,,"['Penyampaian Bukti Iklan Informasi Penambahan Modal tanpa HMETD [SAME ]', 'Penyampaian Bukti Iklan Keterbukaan Informasi Rencana PMTHMETD dalam rangka Pelaksanaan Program Kepemilikan Saham Manajemen dan Karyawan (Program MESOP) [SAME ]', 'Keterbukaan Informasi Penambahan Modal Tanpa Hak Memesan Efek Terlebih Dahulu (PMTHMETD) [SAME ]', 'Keterbukaan Informasi Penambahan Modal Tanpa Hak Memesan Efek Terlebih Dahulu (PMTHMETD) Melalui Program Kepemilikan Saham Manajemen dan Karyawan (Program MESOP) [SAME ]']","['Right Issue', 'Right Issue', 'Right Issue', 'Right Issue']",2026-04-27 21:22:37,0.0,1.0,8750000.0,"['Lanjut MESOP Tahap IV, EMC Hospitals (SAME) Terbitkan 8,75 Juta Saham']",8.0
EPAC,3,1,3.0,3,,,['Negosiasi rencana pengambilalihan Perseroan [EPAC ]'],['Pengambilalihan'],2026-04-27 17:51:30,3.0,5.0,2420000000000.0,"['Penutupan Selat Hormuz Kerek Harga Bahan Baku, Emiten Kemasan (EPAC) Sesuaikan Harga Jual', 'Megalestari Epack Sentosaraya (EPAC) Optimistis Menjalani Bisnis di 2025', 'Arahan Kemendag ke Ratusan Repacker Imbas Temuan MinyaKita Tak Sesuai Takaran', 'Hari Ini RUPSLB NETV-EPAC, Ex Dividen UNTR Rp2,42 Triliun', 'Kisah Sukses Usaha Repacking Snack, Penyandang Disabilitas Jadi Pebisnis Cemilan']",6.0
DGNS,2,1,2.0,2,,,['Penambahan modal tanpa HMETD - Rencana Pelaksanaan Penambahan Modal Tanpa HMETD [DGNS ]'],['Right Issue'],2026-04-27 21:37:12,2.0,6.0,125000000.0,"['Butuh Modal, Diagnos Laboratorium (DGNS) Siapkan Private Placement 125 Juta Saham', 'Harga Melonjak Tak Wajar, Saham DGNS Disorot BEI', 'Bergerak Volatile, Saham DGNS-PPRI Diawasi Bursa', 'Saham Kesehatan KAEF-DGNS Melonjak, Investor Spekulasi Lonjakan Kasus Covid-19', 'Dipantau Bursa, Saham Diagnos (DGNS) Berbalik Hijau', 'Diagnos Laboratorium (DGNS) Ditinggal Dua Direkturnya, Ada Apa?']",4.0
BAUT,1,1,1.0,1,,,['Transaksi Afiliasi [BAUT ]'],['Afiliasi'],2026-04-27 19:44:05,0.0,0.0,0.0,,1.0
BUVA,1,1,1.0,1,,,['Transaksi Afiliasi [BUVA ]'],['Afiliasi'],2026-04-27 19:34:37,0.0,4.0,0.0,"['IHSG Hari Ini Berpotensi Menguat, Cermati Saham BUVA, COIN hingga PANI', 'IHSG Hari Ini Berpotensi Terkoreksi Terbatas, INDF, CDIA, hingga BUVA Bisa Jadi Pilihan', 'Terseret Kasus Tuduhan Insider Trading, Begini Imbauan Bukit Uluwatu (BUVA)', 'BUVA dan MINA Buka Suara soal Tersangka Kasus Tindak Pidana Pasar Modal Minna Padi']",1.0
